2024年　訪日外客数（総数）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,出典：日本政府観光局（JNTO)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊本表で、通年の月別・市場別の推移が確認できます。伸率は前年同月比を表しています。,,,,,,,,,,,,,,,,,,,,,,,,,,,単位：人数（人）、伸率（％）
,,1月,伸率,2月,伸率,3月,伸率,4月,伸率,5月,伸率,6月,伸率,7月,伸率,8月,伸率,9月,伸率,10月,伸率,11月,伸率,12月,伸率,累計,伸率
北欧地域,,7439,56.412952060555085,8919,70.92755845151399,18075,56.832971800433825,12955,11.960936824820664,11906,38.329266875798766,14376,26.227061199402925,15871,26.85636639757014,6873,6.690468798509784,12692,28.87896019496344,18699,29.60216246187968,12290,30.425554494322405,10635,46.64920022062879,150730,33.42480304505621
,スウェーデン,2755,48.6778197517539,2855,59.85442329227325,5907,67.14770797962649,4838,13.408345053914687,3836,27.994661327994663,5465,21.552491103202854,4458,30.046674445740962,2267,13.69107321965896,4313,24.97826716893654,6494,29.105367793240553,4415,31.242568370986923,4496,47.60341431385424,52099,32.75321697031469
,デンマーク,1617,50.698974836905876,2216,86.68913226621734,5454,69.95948893736366,3562,10.415375077495355,3487,48.13084112149534,2311,7.040296433534053,5366,26.437323279924613,1939,11.565017261219793,3585,28.586800573888098,6230,30.662751677852352,3103,20.55167055167055,2080,42.465753424657535,40950,33.04093567251462
,ノルウェー,1496,60.860215053763454,1798,68.19457436856874,4314,55.23569629363081,2164,0.417633410672849,1792,42.22222222222223,3336,32.80254777070064,4136,26.174496644295303,1359,40.10309278350513,2433,35.16666666666666,2677,26.095148374941118,1777,22.805805114029027,1619,32.92282430213464,28901,34.16740169908547
,フィンランド,1571,74.55555555555554,2050,74.31972789115648,2400,19.82026959560659,2391,24.272349272349274,2791,39.829659318637255,3264,46.89468946894689,1911,22.421524663677133,1308,-24.827586206896555,2361,30.51409618573797,3298,31.55165536497806,2995,46.95780176643768,2440,59.68586387434554,28780,34.46084843954401
オランダ,,3491,47.98643493005511,4783,90.55776892430279,9124,52.49874644827011,11751,42.43636363636364,10193,47.148837880756446,5454,22.948602344454457,13785,31.61160970021004,8051,30.169765561843178,10498,29.974000247616686,12415,40.219110006776596,7915,33.1818946659936,5521,23.01693404634581,102981,38.255511102757566
スイス,,2661,51.4513375071144,3598,62.731795567616444,9257,89.11133810010213,8516,23.65325976477422,6248,30.438413361169097,4147,38.27942647549182,8055,14.809007981755997,4321,20.42920847268674,7204,38.40537944284341,9603,33.82107023411371,4826,22.955414012738853,3757,27.528852681602174,72193,35.205543590223805
ベルギー,,1494,39.23578751164959,2355,76.00896860986549,4415,56.338526912181294,5189,32.94901357929797,4195,28.405264768901134,2484,31.428571428571416,5765,18.71911037891269,3244,34.77357706688824,5108,39.220496047969476,6763,47.63152150185549,3929,33.63945578231293,2122,32.294264339152114,47063,37.00221238938053
ポーランド,,2026,70.9704641350211,2305,67.39288307915757,5599,52.31229597388466,8773,86.34239592183516,6727,88.37860543265194,4579,43.31768388106417,4806,51.22718691000628,5111,41.73599556295065,7981,59.81177412895477,7931,51.00913937547601,5693,34.2688679245283,2297,39.04358353510896,63828,57.08027760003937
オーストリア,,1321,29.89183874139627,1773,63.41013824884794,4278,70.23477914842817,3717,51.96238757154538,3736,46.10872115760657,1899,30.425824175824175,3993,28.22736030828517,3126,20.741599073001154,4079,35.78561917443409,4257,28.184281842818425,2774,38.42315369261477,1867,48.8835725677831,36820,39.68133535660091
