2019年　訪日外客数（総数）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,出典：日本政府観光局（JNTO)
,,,,,,,,,,,,,,,,,,,,,,,,,,
＊本表で、通年の月別・市場別の推移が確認できます。伸率は前年同月比を表しています。,,,,,,,,,,,,,,,,,,,,,,,,,,単位：人数（人）、伸率（％）
,1月,伸率,2月,伸率,3月,伸率,4月,伸率,5月,伸率,6月,伸率,7月,伸率,8月,伸率,9月,伸率,10月,伸率,11月,伸率,12月,伸率,累計,伸率
スイス,2399,8.650362318840576,2568,-1.7973231357552577,5066,-9.969788519637458,7983,23.69073442826155,4608,-3.09148264984227,3145,2.7106466361855013,6489,-2.989983555090447,3529,5.4692169754931115,4778,10.320942045716919,6514,-1.2132241431604456,3756,5.743243243243242,3073,7.222609909281232,53908,3.472235551546106
ベルギー,1572,4.939919893190914,1849,8.828722778104758,3547,12.317922735908793,5258,24.922784509384655,3351,12.6008064516129,2553,20.311027332704995,5166,6.912251655629149,2850,13.908872901678663,3488,16.968477531857815,4424,10.46192259675405,3138,14.987174789300113,2049,22.328358208955223,39245,14.127431878326107
フィンランド,1875,0.590128755364816,2213,24.116657319125068,2729,2.5169045830202963,2604,-9.205020920502093,3102,21.50411280846063,3054,13.99776035834266,2108,2.429543245869766,1580,13.018597997138755,1931,-2.2773279352226723,3309,3.052008720024915,2336,11.716881874701102,2596,31.576279776989367,29437,8.559522053400201
ポーランド,1517,-16.234124792932082,1591,-2.0923076923076933,4188,26.106594399277316,5972,8.581818181818178,3442,-7.646900992755567,2721,9.364951768488751,3217,17.451624680540334,2945,14.457831325301214,3538,16.458196181698483,4017,11.707452725250292,3729,26.27836098882493,1657,24.119850187265925,38534,11.029793119345356
デンマーク,1544,-8.639053254437867,1843,16.571790006325116,3132,-17.8814892501311,4215,51.34649910233393,2404,20.019970044932613,1980,5.039787798408483,4972,15.520446096654283,1645,6.060606060606062,2298,3.6068530207393934,3917,4.286474973375931,3080,45.21452145214522,1863,28.041237113402047,32893,12.790179336830903
ノルウェー,1537,17.14939024390243,1640,1.8633540372670732,2335,-34.132581100141046,3756,104.79825517993456,1537,4.203389830508475,2453,9.6557890031292,3320,11.784511784511793,1156,11.368015414258181,1828,9.921828021647627,1959,-4.345703125,1898,22.21506761107534,1419,10.514018691588788,24838,10.053613363463157
オーストリア,1382,11.361804995970992,1479,9.231905465288026,2498,7.394668959587269,3451,50.370370370370374,2179,-6.840530141085932,1732,8.114856429463174,3005,18.44698462751282,2453,21.315529179030662,2640,16.40211640211639,2827,-5.73524508169389,2288,18.980759230369216,1596,24.59016393442623,27530,13.821474345722919
ポルトガル,1587,17.904903417533436,1571,2.814136125654443,2538,3.465144720750102,3527,43.14123376623375,2728,28.800755429650614,2577,42.61206419479802,2828,15.522875816993448,3312,27.9258400926999,2712,30.071942446043153,3389,22.878897751994202,2693,8.720226079935415,2887,18.660090423345665,32349,22.044065494605007
アイルランド,1316,4.610492845786962,1333,3.0139103554868596,1970,-9.55004591368228,2481,31.339332980412916,1949,0.6195147134744561,1887,9.391304347826093,1889,6.064008983717017,1696,19.101123595505626,9151,415.54929577464793,12024,471.2114014251781,2039,22.979493365500602,1652,27.56756756756758,39387,93.84320094492838
その他ヨーロッパ,5815,10.425370300037983,5679,16.827813207159025,13440,30.548810101991265,15452,12.337331879316604,11123,10.930487683255219,8897,13.366462793068308,9735,9.7767253044655,9802,23.40425531914893,11376,23.464293466464085,13799,17.23874256584537,12284,27.78529075210652,7480,31.713329811586533,124882,18.777998649406968
